處理的字串,predict
我要聽喬幼的歌,(3 5 artist)
我要聽張學友的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
播放唸書音樂,(2 4 theme)
我要聽徐佳瑩的歌,(3 6 artist)
mp魔幻力量我還是愛著你,(2 6 artist)
幫我播放陳潔的新不要,(8 10 song)
我要聽台語歌,(3 5 language)
我要聽走到飛,(3 6 song)
我要聽兒歌,(3 5 song)
我要聽于文文的歌,(3 6 artist)
我要聽有點野,(3 6 album)
英文,(0 2 language)
我要聽林俊傑的歌,(3 6 artist)
學貓叫,(0 3 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽兒歌,(3 5 song)
我要聽黃乙玲的歌,(3 6 artist)
我要聽華語音樂,(3 5 language)
沙漠駱駝,(0 4 song)
沙漠駱駝,(0 4 song)
我要聽華語新歌,(3 5 language)
我要聽爵士音樂,(3 5 category)
我要聽田馥甄的歌,(3 6 artist)
彭佳慧,(0 3 artist)
兩隻老虎,(0 4 song)
我要聽相聲,(3 5 audiobook_category)
學貓叫,(0 3 song)
涼涼,(0 2 song)
我要聽黃乙玲的歌,(3 6 artist)
學貓叫,(0 3 song)
我要聽江蕙的歌,(3 5 artist)
愛我你就抱抱我,(0 7 song)
我要聽新歌,(3 5 keyword)
播放音樂,(0 4 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽月亮代表我的心,(3 10 song)
莊心妍放過自己,(0 3 artist)
我要聽小蘋果,(3 6 song)
Beat it,(0 2 song)
請播故事,(2 4 category)
我要聽獨立音樂,(3 5 category)
我要聽熱門歌曲,(3 5 keyword)
我要聽熱門歌曲,(3 5 keyword)
我要聽感到憤怒的歌曲,(5 7 theme)
播放芭比的触电,(2 4 artist)
我要聽蔡依林的歌,(3 6 artist)
兩隻老虎,(0 4 song)
我要聽華語音樂,(3 5 language)
我要聽兒歌,(3 5 song)
我要聽華語新歌,(3 5 language)
西洋音樂,(0 2 language)
我要聽兒歌,(3 5 song)
我要聽月琴,(3 5 song)
我要聽情歌,(3 5 theme)
生日快樂,(0 4 song)
我要聽flight,(0 4 song)
我要聽光年之外,(3 7 song)
我要聽在我心裡從此有個你,(7 12 song)
我要聽故事,(0 5 general_audiobook)
我要聽光年之外,(3 7 song)
我要聽吻別,(3 5 song)
我要聽搖滾音樂,(3 5 category)
播放音樂,(0 4 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
黃小琥,(0 3 artist)
播放一曲相思,(2 6 song)
往後餘生,(0 4 song)
我要聽春天的歌曲,(3 7 song)
愛我你就抱抱我,(0 7 song)
我要聽床邊故事,(3 7 audiobook_category)
我要聽搖滾音樂,(3 5 category)
我要聽相聲,(3 5 audiobook_category)
學貓叫,(0 3 song)
學貓叫,(0 3 song)
我要聽一千零一夜故事,(3 8 audiobook)
我要聽李聖傑的歌,(3 6 artist)
播放辦桌二人組,(4 7 artist)
播放小紅帽的兒童故事,(6 10 audiobook_category)
我要聽煙花易冷,(3 7 song)
我要聽王力宏的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
我要聽嘻哈音樂,(3 5 category)
我要聽爵士音樂,(3 5 category)
我要聽吳卓源的歌,(3 6 artist)
我要聽alan walker,(3 6 artist)
我要聽阿拉丁電影的主題曲,(9 12 song)
我要聽吳卓源的歌,(3 6 artist)
我要聽把悲傷留給自己,(3 10 song)
我要聽王傑的歌,(3 5 artist)
我要聽睡眠音樂,(3 5 theme)
我要聽陳綺貞的歌,(3 6 artist)
凉凉,(0 2 song)
費玉清的香水有毒,(0 3 artist) (4 8 song)
唱一首小蘋果,(3 6 song)
我要聽嘻哈音樂,(3 5 category)
我要聽買榜,(3 5 song)
我要聽防彈少年團的歌,(3 8 artist)
我要聽伍佰的歌,(3 6 album)
我要聽鄧麗君的歌,(3 6 artist)
我要聽爵士音樂,(3 5 category)
我要聽白雪公主,(3 7 audiobook)
喬幼,(0 2 artist)
我要聽see you again,(3 6 song)
播放主題吹出來的音樂,(5 7 song)
我要聽走到飛,(3 6 song)
我要聽有點野,(3 6 album)
我要聽新歌,(3 5 keyword)
我要聽熱門歌曲,(3 5 keyword)
我要聽橄欖樹,(3 6 song)
我要聽粵語歌,(3 5 language)
播放音樂,(0 4 song)
我要聽新歌,(3 5 keyword)
我要聽粵語歌,(3 5 language)
我要聽留不住的故事,(3 9 song)
我要聽節奏藍調音樂,(3 7 category)
我要聽華語新歌,(3 5 language)
我要聽林憶蓮的歌,(3 6 artist)
播放音樂,(0 4 song)
往後餘生,(0 4 song)
李翊君,(0 3 artist)
學貓叫,(0 3 song)
我想要聽周杰倫的告白氣球,(4 7 artist) (8 12 song)
我要聽天生歌姬,(3 7 album)
播放起風了,(2 5 song)
我要聽煙花易冷,(3 7 song)
我要聽于文文的歌,(3 6 artist)
學貓叫,(0 3 song)
我要聽喬幼的歌,(3 5 artist)
播放音樂,(0 4 song)
有聲書,(0 3 general_audiobook)
我要聽米希亞的歌,(4 8 song)
我要聽華語音樂排行榜,(3 5 language) (7 10 keyword)
我要聽日文歌,(3 5 language)
我要聽兒歌,(3 5 song)
我要聽兒歌,(3 5 song)
我要聽我好嗎,(3 6 song)
我要聽歪批三國,(3 7 song)
阿拉丁主題曲,(3 6 song)
涼涼,(0 2 song)
我要聽熱門歌曲,(3 5 keyword)
我要聽準備中,(3 6 album)
我要聽突然好想你,(3 8 song)
我要聽米津玄師,(3 7 artist)
涼涼,(0 2 song)
我要聽粵語歌,(3 5 language)
我要聽華語新歌,(3 5 language)
播放音樂,(0 4 song)
我要聽對面的女孩看過來,(3 11 song)
我要聽紅蜻蜓,(3 6 song)
我要聽節奏藍調音樂,(3 7 category)
我要聽田馥甄的歌,(3 6 artist)
播放一曲相思,(2 6 song)
播放起風了,(2 5 song)
我要聽嘻哈音樂,(3 5 category)
我要聽光年之外,(3 7 song)
我想聽無言的歌,(3 7 song)
西洋音樂,(0 2 language)
我要聽光年之外,(3 7 song)
播放起風了,(2 5 song)
我要聽三隻小豬,(3 7 audiobook)
往後餘生,(0 4 song)
我要聽歪批三國,(3 7 song)
我要听BIGBANG,(3 7 song)
學貓叫,(0 3 song)
播放一曲相思,(2 6 song)
我要聽準備中,(3 6 album)
播放茄子蛋,(2 5 artist)
我要聽古典音樂,(3 5 category)
我要聽伍佰的歌,(3 6 album)
我要聽吳卓源的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
兒童故事,(0 4 audiobook_category)
我要聽江蕙的歌,(3 5 artist)
我要聽相聲,(3 5 audiobook_category)
寶貝寶貝,(0 4 song)
我要聽台語歌,(3 5 language)
下雨天適合聽的歌曲,(0 3 theme)
愛我你就抱抱我,(0 7 song)
我要聽音樂,(0 5 song)
我要聽音樂,(0 5 song)
我要聽郭桂彬的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
播放茄子蛋爛榴蓮,(2 5 artist)
我要聽鳳飛飛的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
我要聽黃明志的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
我要聽鬼故事,(3 6 audiobook_category)
我要聽華語新歌,(3 5 language)
我要聽江蕙的歌,(3 5 artist)
我要聽月琴,(3 5 song)
播放起風了,(2 5 song)
播放一曲相思,(2 6 song)
播放韓語歌,(2 4 language)
播放一曲相思,(2 6 song)
萬芳,(0 2 artist)
我要聽張惠妹的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
我要聽光年之外,(3 7 song)
唱一首小蘋果,(3 6 song)
我要聽新歌,(3 5 keyword)
我要聽華語音樂,(3 5 language)
烽火天榜,(0 4 song)
播放一曲相思,(2 6 song)
貓咪,(0 2 album)
我要聽鄧紫棋的歌,(3 6 artist)
moon river,(0 2 song)
鄭秀文,(0 3 artist)
我要聽日本音樂,(3 5 language)
我要聽月琴,(3 5 song)
沙漠駱駝,(0 4 song)
唱一首小蘋果,(3 6 song)
我要聽搖滾音樂,(3 5 category)
我要聽輕音樂,(3 6 category)
學貓叫,(0 3 song)
我要聽王力宏的歌,(3 6 artist)
播故事,(0 3 general_audiobook)
我要聽光年之外,(3 7 song)
我要聽古典音樂,(3 5 category)
我要聽天生歌姬,(3 7 album)
我要聽走到飛,(3 6 song)
我要聽對面的女孩看過來,(3 11 song)
我想要聽突然好想你,(4 9 song)
播放音樂,(0 4 song)
學貓叫,(0 3 song)
播放音樂,(0 4 song)
我要聽華語音樂,(3 5 language)
我要聽獨立音樂,(3 5 category)
播放一曲相思,(2 6 song)
我要聽華語新歌,(3 5 language)
播放音樂,(0 4 song)
高勝美,(0 3 artist)
陳小春,(0 3 artist)
我要聽嘻哈音樂,(3 5 category)
兩隻老虎,(0 4 song)
我要聽華語音樂,(3 5 language)
我要聽愛情的模樣,(3 8 song)
我要聽台語歌,(3 5 language)
五八奏大提琴,(3 6 album)
馬上好剛收藏起來,(4 8 song)
我要聽劉德華的歌,(3 6 artist)
學貓叫,(0 3 song)
我要聽梁靜茹的歌,(3 6 artist)
我要聽玖壹壹的歌,(3 6 artist)
我要聽吳卓源的歌,(3 6 artist)
大悲咒,(0 3 song)
我要聽台語歌,(3 5 language)
我要聽喬幼的歌,(3 5 artist)
我要聽周杰倫的歌,(3 6 artist)
我要聽齊天大聖再鬧天宮,(3 11 audiobook)
我要聽生日快樂歌,(3 8 song)
兩隻老虎,(0 4 song)
我要聽愛情的模樣,(3 8 song)
游鴻明,(0 3 artist)
我要聽快樂天堂,(3 7 song)
taylor swift,(0 3 artist)
我要聽張學友的歌,(3 6 artist)
播徐陽歌,(1 3 theme)
我要聽爵士音樂,(3 5 category)
幫我放ufo,(3 5 song)
我要聽王菲的歌,(3 5 album)
我要聽熱門歌曲,(3 5 keyword)
生僻字,(0 3 song)
我要聽月琴,(3 5 song)
我要聽華語新歌,(3 5 language)
學貓叫,(0 3 song)
我要聽嘻哈音樂,(3 5 category)
我要聽煙花易冷,(3 7 song)
我要聽搖滾音樂,(3 5 category)
我要聽吳卓源的歌,(3 6 artist)
我要聽我好嗎,(3 6 song)
我要聽鄧麗君的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
我要聽搖滾音樂,(3 5 category)
播放一曲相思,(2 6 song)
冰雪奇緣主題曲,(4 7 song)
我要聽鬼故事,(3 6 audiobook_category)
我要聽田馥甄的歌,(3 6 artist)
唱一首小蘋果,(3 6 song)
來首愛情的騙子我問你,(2 10 song)
我要聽wheel,(0 4 song)
播放音樂,(0 4 song)
我要聽煙花易冷,(3 7 song)
我要聽月琴,(3 5 song)
我要聽搖滾音樂,(3 5 category)
我要聽古典音樂,(3 5 category)
我要聽童話故事,(3 7 audiobook_category)
我要聽你要的愛李榮浩,(3 7 song)
我要聽音樂,(0 5 song)
我要聽新歌,(3 5 keyword)
我要聽于文文的歌,(3 6 artist)
我要聽派對動物,(3 7 song)
我要聽粵語歌,(3 5 language)
幫我播張懸的歌,(3 5 artist)
我要聽我的收藏歌曲,(3 7 keyword)
我要聽一段歌曲,(0 7 song)
我要聽詹雅雯的歌,(3 6 artist)
郭富城動起來,(0 3 artist)
我要聽孫露的歌,(3 5 artist)
我要聽粵語歌,(3 5 language)
我要聽華語新歌,(3 5 language)
播放音樂,(0 4 song)
我要聽光年之外,(3 7 song)
我要聽煙花易冷,(3 7 song)
我要聽華語新歌,(3 5 language)
學貓叫,(0 3 song)
我要聽光年之外,(3 7 song)
愛我你就抱抱我,(0 7 song)
要聽拔蘿蔔,(2 5 song)
播放音樂,(0 4 song)
我要聽三隻小豬,(3 7 audiobook)
我要聽周興哲的歌,(3 6 artist)
我要聽蔡依林的歌,(3 6 artist)
我要聽周興哲的歌,(3 6 artist)
我要聽田馥甄的歌,(3 6 artist)
我要聽周杰倫的歌,(3 6 artist)
我要聽華語音樂,(3 5 language)
播放韓語歌,(2 4 language)
我要聽新歌,(3 5 keyword)
我要聽鄧麗君的歌,(3 6 artist)
我要聽陳綺貞的歌,(3 6 artist)
西洋音樂,(0 2 language)
我要聽葉啟田的歌,(3 6 artist)
我要聽吳卓源的歌,(3 6 artist)
吳宗憲,(0 3 artist)
我要聽睡眠音樂,(3 5 theme)
我要聽兒歌,(3 5 song)
播放一曲相思,(2 6 song)
我要聽周興哲的歌,(3 6 artist)
我要聽月琴,(3 5 song)
我要聽鄧紫棋的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽我好嗎,(3 6 song)
我要聽tfboys的躲貓貓,(3 11 song)
我要聽費玉清的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
我要聽故事,(0 5 general_audiobook)
我要聽梁靜茹的歌,(3 6 artist)
我要聽費玉清的歌,(3 6 artist)
我要聽日文歌,(3 5 language)
我要聽台語歌,(3 5 language)
我要聽小星星,(3 6 song)
播放輕音樂,(2 5 category)
我要聽有點野,(3 6 album)
彭佳慧,(0 3 artist)
我要聽田馥甄的歌,(3 6 artist)
播放一曲相思,(2 6 song)
游鴻明,(0 3 artist)
我要聽的是黃子韜的耳豆,(5 8 artist)
我要聽新歌,(3 5 keyword)
我要聽古典音樂,(3 5 category)
我要聽葉啟田的歌,(3 6 artist)
我要聽英文版拇指姑娘,(3 10 audiobook)
我要聽薛之謙的歌,(3 6 artist)
我要聽橄欖樹,(3 6 song)
聽相聲,(1 3 audiobook_category)
我要聽童話故事,(3 7 audiobook_category)
幫我放韋禮安的還是會,(3 6 artist) (7 10 song)
我要聽張學友的歌,(3 6 artist)
我要聽黃乙玲的歌,(3 6 artist)
我要聽江蕙的歌,(3 5 artist)
我要聽中港路,(3 6 song)
黃鶯鶯的哭砂,(0 3 artist) (4 6 song)
幫我播放大自然音樂,(4 9 artist)
唱一首小蘋果,(3 6 song)
我要聽搖滾音樂,(3 5 category)
我要聽搖滾音樂,(3 5 category)
我要聽相聲,(3 5 audiobook_category)
劉若英,(0 3 artist)
我要聽橄欖樹,(3 6 song)
播放一曲相思,(2 6 song)
孫露,(0 2 artist)
我要聽林憶蓮的忘讓往事已成過去,(3 6 artist) (7 15 song)
我要聽王力宏的歌,(3 6 artist)
我要聽吳卓源的歌,(3 6 artist)
我要聽月琴,(3 5 song)
我要聽周杰倫的歌,(3 6 artist)
鄭秀文,(0 3 artist)
我要聽小牛頓,(3 6 audiobook_category)
我要聽浪漫的音樂,(3 5 theme)
我要聽節奏藍調音樂,(3 7 category)
唱一首小蘋果,(3 6 song)
幫我放韋禮安的還是會,(3 6 artist) (7 10 song)
熊仔,(0 2 artist)
披頭四,(0 3 song)
我要聽音樂,(0 5 song)
稻香,(0 2 song)
我要聽林俊傑的歌,(3 6 artist)
播放音樂,(0 4 song)
我要聽排行榜,(3 6 keyword)
我要聽費玉清的歌,(3 6 artist)
播放韓語歌,(2 4 language)
我要聽搖滾音樂,(3 5 category)
我要聽張學友的歌,(3 6 artist)
我要聽伍佰的歌,(3 6 album)
唱歌,(0 2 song)
我要聽鄧紫棋的歌,(3 6 artist)
我要聽兒歌,(3 5 song)
我要聽月琴,(3 5 song)
我要聽白雪公主,(3 7 audiobook)
韓國流行音樂,(0 2 language)
我要聽鬼故事,(3 6 audiobook_category)
我要聽無印良品的注定,(3 7 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽陳綺貞的歌,(3 6 artist)
我要聽心靈音樂,(3 7 category)
涼涼,(0 2 song)
我要聽好想你,(3 6 song)
我要聽台語歌,(3 5 language)
打開股市,(0 2 song)
夜店歌曲,(0 2 song)
我要聽相聲選粹,(3 7 audiobook)
學貓叫,(0 3 song)
兩隻老虎,(0 4 song)
播放音樂,(0 4 song)
畢書盡,(0 3 artist)
我要聽橄欖樹,(3 6 song)
往後餘生,(0 4 song)
我要聽 lady gaga 的歌,(4 7 artist)
我要聽熱門歌曲,(3 5 keyword)
我要聽陳綺貞的歌,(3 6 artist)
我要聽一首戰隊,(5 7 song)
我要聽新歌,(3 5 keyword)
兩隻老虎,(0 4 song)
播放一曲相思,(2 6 song)
我要聽華語新歌,(3 5 language)
唱一首小蘋果,(3 6 song)
陳淑樺的歌,(0 3 artist)
我要聽排行榜,(3 6 keyword)
我要聽鄧麗君的歌,(3 6 artist)
我要聽黃昏,(3 5 song)
唱一首小蘋果,(3 6 song)
播放一曲相思,(2 6 song)
我要聽防彈少年團的歌,(3 8 artist)
葉倩文的哭砂,(0 3 artist) (4 6 song)
taylor swift,(0 3 artist)
我要聽日文歌,(3 5 language)
我要聽王力宏的歌,(3 6 artist)
我要聽王菲的歌,(3 5 album)
我要聽排行榜,(3 6 keyword)
我要聽紅蜻蜓,(3 6 song)
今天,(0 2 song)
唱一首小蘋果,(3 6 song)
我要聽煙花易冷,(3 7 song)
王力宏的三字經,(4 7 audiobook_category)
宮崎駿音樂,(0 3 album)
知否知否應是綠肥紅瘦,(0 4 song)
愛你在心口難開,(0 7 song)
我要聽于文文的歌,(3 6 artist)
幫我播無言的歌,(3 7 song)
播放一曲相思,(2 6 song)
學貓叫,(0 3 song)
我要聽華語最新排版,(3 5 language)
學貓叫,(0 3 song)
播放一曲相思,(2 6 song)
不是外星人的怪胎,(0 8 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽西遊記,(3 6 audiobook)
播放黃妃唱的追追追,(6 9 song)
播放this game,(2 4 song)
播放一曲相思,(2 6 song)
我要聽張宇的歌,(3 5 artist)
我要聽許茹芸的歌,(3 6 artist)
兩隻老虎,(0 4 song)
蘇芮,(0 2 artist)
我要聽光年之外,(3 7 song)
我要聽劉德華的歌,(3 6 artist)
我要聽天生歌姬,(3 7 album)
我要聽台語歌,(3 5 language)
我要聽黃乙玲的歌,(3 6 artist)
我要聽琅琊榜,(3 6 song)
我要聽街角的祝福,(3 8 song)
我要聽煙花易冷,(3 7 song)
我要聽相聲,(3 5 audiobook_category)
我要聽周杰倫的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽張韶涵的歌,(3 6 artist)
西洋音樂,(0 2 language)
我要聽鄧紫棋的歌,(3 6 artist)
王紅的我問天,(3 6 song)
我要聽生日快樂歌,(3 8 song)
兩隻老虎,(0 4 song)
播放起風了,(2 5 song)
我要聽于文文的歌,(3 6 artist)
我要聽歪批三國,(3 7 song)
我要聽蔡依林的歌,(3 6 artist)
我要聽吳卓源的歌,(3 6 artist)
我要聽花心,(3 5 song)
我要聽愛情的模樣,(3 8 song)
Beat it,(0 2 song)
學貓叫,(0 3 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽鬼故事,(3 6 audiobook_category)
我要聽光年之外,(3 7 song)
我要聽張雨生的歌,(3 6 artist)
播放小紅帽的兒童故事,(6 10 audiobook_category)
我要聽白雪公主的故事,(3 7 audiobook)
我要聽有點野,(3 6 album)
我要聽光年之外,(3 7 song)
我要聽白雪公主的故事,(3 7 audiobook)
我要聽鄧麗君的歌,(3 6 artist)
陳雷,(0 2 artist)
我要聽林俊傑的歌,(3 6 artist)
學貓叫,(0 3 song)
播放音樂,(0 4 song)
我要聽獨立音樂,(3 5 category)
兩隻老虎,(0 4 song)
我要聽獨立音樂,(3 5 category)
播放輕音樂,(2 5 category)
我要聽悲傷的歌曲,(3 5 theme)
播放音樂,(0 4 song)
moon river,(0 2 song)
唱一首小蘋果,(3 6 song)
我要聽陳綺貞的歌,(3 6 artist)
涼涼,(0 2 song)
來首愛情的騙子我問你,(2 10 song)
我要聽走到飛,(3 6 song)
烽火天榜,(0 4 song)
下雨天適合聽的歌曲,(0 3 theme)
我要聽動力火車的歌,(3 7 artist)
往後餘生,(0 4 song)
我要聽留不住的故事,(3 9 song)
我要聽煙花易冷,(3 7 song)
愛我你就抱抱我,(0 7 song)
西洋音樂,(0 2 language)
我要聽張學友的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
我要聽江蕙的歌,(3 5 artist)
唱一首小蘋果,(3 6 song)
鄧紫棋,(0 3 artist)
我要聽光年之外,(3 7 song)
我要聽音樂,(0 5 song)
我要聽 ONE OK ROCK 的歌,(4 9 artist)
我要聽走到飛,(3 6 song)
我要聽獨立音樂,(3 5 category)
唱一首小蘋果,(3 6 song)
播放一曲相思,(2 6 song)
我要聽英文版綠野仙蹤,(3 10 audiobook)
播放輕音樂,(2 5 category)
吳宗憲,(0 3 artist)
我要聽買榜,(3 5 song)
下雨天適合聽的歌曲,(0 3 theme)
我要聽煙花易冷,(3 7 song)
我要聽王力宏的歌,(3 6 artist)
我要聽留不住的故事,(3 9 song)
我要聽華語流行排行榜歌曲,(3 5 language) (7 10 keyword)
我要聽熱門歌曲,(3 5 keyword)
我要聽相聲,(3 5 audiobook_category)
我要聽陳雷的阿魯娜,(3 5 artist)
我要聽鄧麗君的歌,(3 6 artist)
兩隻老虎,(0 4 song)
我要聽獨立音樂,(3 5 category)
我要聽留不住的故事,(3 9 song)
我要聽你喜歡我的歌嗎,(3 10 song)
小跳蛙,(0 3 audiobook)
我要聽盧廣仲的歌,(3 6 artist)
陳小雲,(0 3 artist)
我要聽林俊傑的歌,(3 6 artist)
西洋音樂,(0 2 language)
我要聽劉德華的歌,(3 6 artist)
播放韓語歌,(2 4 language)
陳淑樺的歌,(0 3 artist)
我要聽買榜,(3 5 song)
我要聽愛的可能,(3 7 song)
我要聽林俊傑的歌,(3 6 artist)
孫露的月光小夜曲,(0 2 artist) (3 8 song)
放kills的歌,(1 4 song)
我要聽八度空間,(3 7 album)
我要聽華語音樂,(3 5 language)
我要聽情歌精選,(3 5 theme)
播放一曲相思,(2 6 song)
播放音樂,(0 4 song)
我要聽粵語歌,(3 5 language)
播放一曲相思,(2 6 song)
我要聽街角的祝福,(3 8 song)
我要聽蔡琴的歌,(3 5 artist)
數星星,(0 3 song)
我想聽半陽的孩子,(3 5 song)
我要聽有一種悲傷,(3 8 song)
我要聽莫文蔚的歌,(3 6 artist)
換歌,(0 2 album)
播放起風了,(2 5 song)
往後餘生,(0 4 song)
播放一曲相思,(2 6 song)
直接方式笨蛋,(4 6 song)
我要聽愛情的模樣,(3 8 song)
生日快樂,(0 4 song)
我要聽我的路,(3 6 song)
下雨天適合聽的歌曲,(0 3 theme)
我要聽音樂,(0 5 song)
唱一首小蘋果,(3 6 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
我要聽葉啟田的歌,(3 6 artist)
我要聽徐佳瑩的歌,(3 6 artist)
寶貝寶貝,(0 4 song)
我要聽王力宏的歌,(3 6 artist)
往後餘生,(0 4 song)
我要聽古典音樂,(3 5 category)
播放華語排行榜,(2 4 language)
播放一曲相思,(2 6 song)
我要聽周杰倫的歌,(3 6 artist)
tokyo drift,(0 3 song)
我要聽費玉清的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
阿拉丁主題曲,(3 6 song)
我要聽我好嗎,(3 6 song)
我要聽周華健的歌,(3 6 artist)
我要聽鄧麗君的歌,(3 6 artist)
學貓叫,(0 3 song)
我要聽華語新歌,(3 5 language)
陳昇,(0 2 artist)
我要聽林俊傑的歌,(3 6 artist)
往後餘生,(0 4 song)
我要聽江蕙的歌,(3 5 artist)
鄭秀文,(0 3 artist)
我要聽買榜,(3 5 song)
我要聽古典音樂,(3 5 category)
播放一曲相思,(2 6 song)
請幫我放新歌family of,(0 8 song)
我要聽我好嗎,(3 6 song)
我要聽梁靜茹的歌,(3 6 artist)
播放起風了,(2 5 song)
播放音樂,(0 4 song)
我要聽鄧麗君的歌,(3 6 artist)
我要聽橄欖樹,(3 6 song)
我要聽台語歌,(3 5 language)
我要聽相聲,(3 5 audiobook_category)
播別叫我達芬奇,(1 4 song)
我要聽陳綺貞的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
你是笨蛋哦你是從外星過來的機器人嗎,(10 12 song)
我要聽搖滾音樂,(3 5 category)
我要聽許茹芸的歌,(3 6 artist)
沙漠駱駝,(0 4 song)
我要聽獨立音樂,(3 5 category)
我要聽愛情的模樣,(3 8 song)
我要聽英文版綠野仙蹤,(3 10 audiobook)
我要聽王菲的歌,(3 5 album)
我要聽對面的女孩看過來,(3 11 song)
播放輕音樂,(2 5 category)
點燈的孩子,(3 5 song)
我要聽爵士音樂,(3 5 category)
愛我你就抱抱我,(0 7 song)
我要聽小飛俠彼得潘,(3 9 audiobook)
唱最後一首開始播放,(5 7 song)
我要聽搖滾音樂,(3 5 category)
陳淑樺的歌,(0 3 artist)
我要聽王力宏的歌,(3 6 artist)
我要聽電子音樂排行榜,(3 5 category) (7 10 keyword)
我要聽周杰倫的歌,(3 6 artist)
披頭四,(0 3 song)
我要聽日文歌,(3 5 language)
我要聽台語歌,(3 5 language)
播放催眠音,(2 4 theme)
蔡幸娟,(0 3 artist)
我要聽光年之外,(3 7 song)
我要聽林俊傑的歌,(3 6 artist)
兩隻老虎,(0 4 song)
我要聽嘻哈音樂,(3 5 category)
我要聽失戀排行榜,(5 8 keyword)
播放五月,(2 4 album)
我要聽爵士音樂,(3 5 category)
我要聽莫文蔚的歌,(3 6 artist)
唱一首小蘋果,(3 6 song)
我要聽新歌,(3 5 keyword)
我要聽蔡琴的歌,(3 5 artist)
我要聽光年之外,(3 7 song)
我要聽月琴,(3 5 song)
童話故事,(0 4 audiobook_category)
我想聽李白,(3 5 song)
我要聽嘻哈音樂,(3 5 category)
我要聽相聲,(3 5 audiobook_category)
兩隻老虎,(0 4 song)
故事,(0 2 general_audiobook)
播放音樂,(0 4 song)
我要聽愛情的模樣,(3 8 song)
我要聽光年之外,(3 7 song)
來個輕音樂吧,(2 5 category)
我要聽英文版拇指姑娘,(3 10 audiobook)
我要聽煙花易冷,(3 7 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽江蕙的歌,(3 5 artist)
我想聽李白,(3 5 song)
我要聽買榜,(3 5 song)
我要聽黃明志的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
往後餘生,(0 4 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽小野麗莎的歌,(3 7 artist)
播放一曲相思,(2 6 song)
我要聽熱門歌曲,(3 5 keyword)
我要聽嘻哈音樂,(3 5 category)
我要聽茄子蛋的歌,(3 6 artist)
我要聽陳綺貞的歌,(3 6 artist)
我要聽蔡琴的歌,(3 5 artist)
兩隻老虎,(0 4 song)
沙漠駱駝,(0 4 song)
我要聽黃明志的歌,(3 6 artist)
我要聽搖滾音樂,(3 5 category)
我要聽對面的女孩看過來,(3 11 song)
陳淑樺的歌,(0 3 artist)
我要聽周杰倫的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
我要聽煙花易冷,(3 7 song)
我要聽我好嗎,(3 6 song)
我要聽煙花易冷,(3 7 song)
播放悲傷如雨,(2 6 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽,(0 3 playlist)
唱一首小蘋果,(3 6 song)
我要聽傷心的人別聽慢歌,(3 11 song)
我要聽節奏藍調音樂,(3 7 category)
我要聽鳳飛飛的歌,(3 6 artist)
我要聽節奏藍調音樂,(3 7 category)
我要聽華語新歌,(3 5 language)
學貓叫,(0 3 song)
阿拉丁主題曲,(3 6 song)
我要聽莫尼山,(3 6 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽王力宏的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽日文歌,(3 5 language)
高勝美,(0 3 artist)
我要聽走到飛,(3 6 song)
我要聽最新華語歌曲,(3 5 keyword)
我要聽春天的歌曲,(3 7 song)
播放一曲相思,(2 6 song)
學貓叫,(0 3 song)
故事故事,(0 4 song)
我要聽劉德華的歌,(3 6 artist)
我要聽我好嗎,(3 6 song)
我要聽玖壹壹的歌,(3 6 artist)
我要聽i go,(3 5 song)
播放一曲相思,(2 6 song)
我要聽周興哲的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
播放一曲相思,(2 6 song)
沙漠駱駝,(0 4 song)
我想聽齊秦的歌,(3 5 artist)
兩隻老虎,(0 4 song)
